,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
530,600787,中储股份,5.74,0.35,10.93,14.27,0.97,0.21,0.16,4.78,物流行业,1257241.582,1.3763,2022-05-17
534,600808,马钢股份,3.89,-0.26,5.96,5.67,0.89,0.05,0.26,1.87,钢铁行业,3024759.4314,3.3004,2022-05-17
537,600820,隧道股份,5.82,-3.8,7.75,7.65,0.73,1.38,0.29,2.66,工程建设,1829863.9267,3.7801,2022-05-17
538,600823,世茂股份,3.04,-2.88,13.88,11.87,0.44,-,0.62,-0.86,房地产开发,1140355.1513,5.5921,2022-05-17
541,600827,百联股份,11.42,-5.62,32.07,27.08,1.15,-,0.59,5.58,商业百货,2037519.9896,1.3135,2022-05-17
546,600835,上海机电,11.88,1.28,16.77,14.98,0.97,-,0.51,12.42,专用设备,1215014.2979,3.2828,2022-05-17
547,600837,海通证券,8.91,0.22,10.87,9.08,0.71,0.67,3.22,2.68,证券,11640202.2,2.8058,2022-05-17
548,600839,四川长虹,2.69,-1.1,39.51,43.63,0.93,0.09,0.13,4.14,家电行业,1241769.6957,0.3717,2022-05-17
549,600841,动力新科,6.62,-2.65,18.58,15.59,1.1,0.03,0.52,-4.24,汽车零部件,1080076.6546,0.5085,2022-05-17
553,600859,王府井,22.53,-2.09,18.21,19.04,1.29,0.04,2.02,11.72,商业百货,2552291.7891,0.4562,2022-05-17
555,600875,东方电气,13.01,0.93,15.71,17.73,1.21,0.71,0.79,-9.43,电源设备,4057820.4701,1.3839,2022-05-17
559,600901,江苏租赁,5.15,0.59,7.22,7.42,1.04,0.68,3.87,-8.29,多元金融,1538124.7335,5.8252,2022-05-17
560,600908,无锡银行,5.67,0.18,6.35,6.68,0.77,0.30,2.37,1.31,银行,1055570.9293,3.1746,2022-05-17
561,600909,华安证券,4.2,0.0,14.58,13.85,1.03,1.03,5.82,-247.9,证券,1973017.4923,2.2023,2022-05-17
562,600918,中泰证券,7.11,-0.28,17.99,15.48,1.39,0.58,3.95,5.53,证券,4954692.9125,1.5331,2022-05-17
563,600919,江苏银行,7.15,0.85,5.02,5.36,0.68,0.16,1.61,0.76,银行,10560288.0533,4.4196,2022-05-17
564,600926,杭州银行,14.1,0.0,8.32,9.03,1.12,0.26,2.74,-1.12,银行,8361673.7205,2.4822,2022-05-17
565,600928,西安银行,3.67,-0.54,6.03,5.82,0.58,3.47,2.38,1.03,银行,1631111.1113,5.1771,2022-05-17
569,600958,东方证券,8.93,1.02,17.15,14.13,1.26,0.13,3.4,-2.66,证券,7844241.7208,2.2363,2022-05-17
570,600959,江苏有线,3.26,-2.69,48.78,51.74,0.74,0.16,2.17,7.48,文化传媒,1630233.9656,0.9202,2022-05-17
573,600967,内蒙一机,8.91,0.45,19.57,20.34,1.43,1.34,1.03,-7.35,交运设备,1518488.3689,0.9315,2022-05-17
